name,singer,style
赶在七月之前,侯康,摇滚
去美术馆流浪,唐宁,摇滚
犀安路999号,赵照,摇滚
第36个故事 - (Taipei Exchanges),雷光夏,摇滚
诗了你的青春,先知歌者麦子,摇滚
我没去过大理,左成,摇滚
化身孤岛的鲸,李逸朗,摇滚
当你老了 (Live),李健,摇滚
蒲公英的梦想,小果,摇滚
梦中的哈德森,赵雷,摇滚
我的名字叫做安,安来宁,摇滚
关于郑州的记忆,李志,摇滚
你笑着流出了泪,尹吾,摇滚
这谜一样的冬季,雨镈,摇滚
谁的青春不青春,南方小镇,摇滚
流浪春天的侧记,好妹妹/南方二重唱,摇滚
一往情深的恋人,李健,摇滚
你笑起来好美丽,花粥,摇滚
当我唱起这首歌,成方圆,摇滚
安静的为你歌唱,刘昰,摇滚
我一直站在这里,刘明汉,摇滚
二十岁的某一天,花粥,摇滚
城市之光（旧版）,冯佳界,摇滚
一切都是因为你,大乔小乔,摇滚
一把破吉他1999,赵照,摇滚
这个地方（demo）,吴宇嘉,摇滚
从前慢 - 吉他弹唱,洪尘,摇滚
你飞到城市另一边 - (电视剧《长大》插曲),好妹妹,摇滚
面朝大海 春暖花开,蒋山,摇滚
一个北京人在北京,老狼,摇滚
第一次遇见你的时候,谢雨维,摇滚
我只想写一首好歌曲,于文文,摇滚
时间一枪打在我身上,王梵瑞,摇滚
你难过可它早晚会好,花粥,摇滚
如果来生还能遇见你,郝云,摇滚
你想要的不是我能给的,崔跃文,摇滚
不记（2016.4.19）,刘思汗同学,摇滚
一张相片（2016.4.8）,刘思汗同学,摇滚
乱雨乱人心（2016.5.24）,刘思汗同学,摇滚
城市【DEMO】  2013,一三,摇滚
六年【DEMO】 2013,一三,摇滚
我也可以是流浪诗人,好妹妹,摇滚
青春是把上了膛的枪,丝绒公路,摇滚
周一的清晨还在下雨,好妹妹,摇滚
你就是我最想要的丫头 - (电视剧《嘿！老头》插曲),赵照,摇滚
 陪我到可可西里去看海,大冰,摇滚
在冬天和奶奶一起晒太阳,赵照,摇滚
旧情人，我是时间的新欢,尧十三,摇滚
我在太原和谁一起假装悲伤,贰佰,摇滚
我想念你一如独自撸管的悲伤,尧十三,摇滚
我希望我的希望不再只是希望,杨嘉松,摇滚
"我说今晚月光那么美,你说是的",好妹妹,摇滚
你离开了南京，从此没有人和我说话,李志,摇滚
Try,P!nk,摇滚
Brother Louie,Modern Talking,摇滚
We Can't Stop,Miley Cyrus,摇滚
Worth It,Fifth Harmony/KiD Ink,摇滚
Bang Bang,Jessie J/Ariana Grande/Nicki Minaj,摇滚
Sugar,Maroon 5,摇滚
Uptown Funk,Mark Ronson/Bruno Mars,摇滚
Break Your Heart,Taio Cruz,摇滚
I Gotta Feeling,Black Eyed Peas,摇滚
22,Taylor Swift,摇滚
We Are Never Ever Getting Back Together,Taylor Swift,摇滚
You Belong With Me,Taylor Swift,摇滚
I Knew You Were Trouble.,Taylor Swift,摇滚
Want to Want Me,Jason DeRulo,摇滚
Pump It,Black Eyed Peas,摇滚
Don't Push Me,sweetbox,摇滚
Blurred Lines,Robin Thicke/T.I./Pharrell Williams,摇滚
Love Me Like You Do,Ellie Goulding,摇滚
Trespassing,Adam Lambert,摇滚
On the Radio,Groove Coverage,摇滚
50 Ways to Say Goodbye,Train,摇滚
Price Tag,Jessie J/B.o.B,摇滚
One Day,Matisyahu,摇滚
Rock N Roll,Avril Lavigne,摇滚
Lemon Tree,Fool's Garden,摇滚
My Dilemma 2.0,Selena Gomez,摇滚
Hangover,Flo Rida/Taio Cruz,摇滚
The Phoenix,Fall Out Boy,摇滚
Party Rock Anthem,LMFAO,摇滚
We Are Young,Fun./Janelle Monáe,摇滚
Just Dance,Lady Gaga/RedOne/Colby O'Donis,摇滚
What Makes You Beautiful,One Direction,摇滚
Numb,Linkin Park,摇滚
Walk Away - Album Version,Dia Frampton,摇滚
Wide Awake,Katy Perry,摇滚
Me and You,Lucky Twice,摇滚
Safe and Sound,Capital Cities,摇滚
As Long as You Love Me,Backstreet Boys,摇滚
Extreme Ways (Bourne's Legacy),James Newton Howard,摇滚
Stronger (What Doesn't Kill You),Kelly Clarkson,摇滚
Whataya Want from Me,Adam Lambert,摇滚
La La Love On My Mind,Ann Winsborn,摇滚
It's Ok,DJ Maxwell,摇滚
Lonely,Nana,摇滚
Stronger,Inez,摇滚
Gotta Go Home,Mirah,摇滚
It's So Easy (1977),Linda Ronstadt,摇滚
Rolling In The Deep,Adele,摇滚
Remember The Name,Fort Minor,摇滚
Boom Boom Pow (Clean),Black Eyed Peas,摇滚
My Humps - Lil Jon Remix,Black Eyed Peas,摇滚
All Rise,Blue,摇滚
Fire,Gavin Degraw,摇滚
Bad Romance,Lady Gaga,摇滚
Here's To Never Growing Up,Avril Lavigne,摇滚
Immortals,Fall Out Boy,摇滚
Blow,Kesha,摇滚
Far Away From Home,Groove Coverage,摇滚
Trouble Is A Friend,Lenka,摇滚
This Is How We Do It,Solid Base,摇滚
Wrecking Ball,Frankmusik,摇滚
Summer Vibe (Pegato Remix),Pegato/Walk off the Earth,摇滚
Another Day In Paradise,Phil Collins,摇滚
Maps,Maroon 5,摇滚
As Long As You Love Me,Justin Bieber/Big Sean,摇滚
Moves Like Jagger,Maroon 5/Christina Aguilera,摇滚
Beat It,Michael Jackson,摇滚
I Want It That Way,Backstreet Boys,摇滚
I Really Like You,Carly Rae Jepsen,摇滚
Heart Attack,Demi Lovato,摇滚
Focus,Ariana Grande,摇滚
Five More Hours,Chris Brown/Deorro,摇滚
Demons,Imagine Dragons,摇滚
3,Britney Spears,摇滚
Call Me Maybe,Carly Rae Jepsen,摇滚
Marry You,Bruno Mars,摇滚
Timber,Pitbull/Kesha,摇滚
Larger Than Life,Backstreet Boys,摇滚
Mine (Illenium Remix),ILLENIUM/Phoebe Ryan,摇滚
I Want You to Know,Zedd/Selena Gomez,摇滚
Centuries,Fall Out Boy,摇滚
Good Time,Owl City/Carly Rae Jepsen,摇滚
Animals,Maroon 5,摇滚
My Songs Know What You Did In the Dark (Light Em Up),Fall Out Boy,摇滚
I Want My Tears Back,Nightwish,摇滚
The Fox (What Does The Fox Say?),Ylvis,摇滚
Dj Got Us Fallin' In Love,Usher/Pitbull,摇滚
Counting Stars,OneRepublic,摇滚
Turn Me On,David Guetta/Nicki Minaj,摇滚
Wrecking Ball,Miley Cyrus,摇滚
Me and My Broken Heart,Rixton,摇滚
